Unnamed: 0,isv_dst,effect_dst,isv_bin,effect_bin,both_bins,bias_label,class_label,strat_col,filepath,filename,morph_bias,intensity_bias
641,0.0557831196851504,-0.9840581343909514,5,2,5_2,0,1,1_0_2_5,/home/emma/Documents/SBB/datasets/exp199/train/00019_0.056_S_-0.984_D_0_B.tiff,00019_0.056_S_-0.984_D_0_B.tiff,1,1
748,0.7117433561215752,1.6438245074939837,6,6,6_6,0,1,1_0_6_6,/home/emma/Documents/SBB/datasets/exp199/train/00020_0.712_S_1.644_D_0_B.tiff,00020_0.712_S_1.644_D_0_B.tiff,1,1
644,-1.3027198952596866,1.6591240641555491,3,6,3_6,0,1,1_0_6_3,/home/emma/Documents/SBB/datasets/exp199/train/00021_-1.303_S_1.659_D_0_B.tiff,00021_-1.303_S_1.659_D_0_B.tiff,1,1
263,1.2312228448426903,-1.2722505216237172,6,5,6_5,0,0,0_0_5_6,/home/emma/Documents/SBB/datasets/exp199/train/00022_1.231_S_-1.272_D_0_B.tiff,00022_1.231_S_-1.272_D_0_B.tiff,1,1
475,0.7635525878583971,1.5060648618402572,6,5,6_5,0,1,1_0_5_6,/home/emma/Documents/SBB/datasets/exp199/train/00023_0.764_S_1.506_D_0_B.tiff,00023_0.764_S_1.506_D_0_B.tiff,1,1
712,-0.0148142678005862,1.0289683429892544,4,5,4_5,0,1,1_0_5_4,/home/emma/Documents/SBB/datasets/exp199/train/00024_-0.015_S_1.029_D_0_B.tiff,00024_-0.015_S_1.029_D_0_B.tiff,1,1
270,-0.8886726098491565,-2.0368651406568787,3,4,3_4,0,0,0_0_4_3,/home/emma/Documents/SBB/datasets/exp199/train/00025_-0.889_S_-2.037_D_0_B.tiff,00025_-0.889_S_-2.037_D_0_B.tiff,1,1
778,-0.0110711126648887,-0.4196819925965811,4,2,4_2,0,1,1_0_2_4,/home/emma/Documents/SBB/datasets/exp199/train/00026_-0.011_S_-0.42_D_0_B.tiff,00026_-0.011_S_-0.42_D_0_B.tiff,1,1
428,-0.3580241415975762,-1.836999350937574,4,4,4_4,0,0,0_0_4_4,/home/emma/Documents/SBB/datasets/exp199/train/00027_-0.358_S_-1.837_D_0_B.tiff,00027_-0.358_S_-1.837_D_0_B.tiff,1,1
535,-0.6997058136019485,-0.1664166902953154,3,3,3_3,0,1,1_0_3_3,/home/emma/Documents/SBB/datasets/exp199/train/00028_-0.7_S_-0.166_D_0_B.tiff,00028_-0.7_S_-0.166_D_0_B.tiff,1,1
253,0.6593552193989944,0.649469781387273,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00029_0.659_S_0.649_D_0_B.tiff,00029_0.659_S_0.649_D_0_B.tiff,1,1
124,-1.1351968617896628,-0.0592560998278446,3,3,3_3,0,1,1_0_3_3,/home/emma/Documents/SBB/datasets/exp199/train/00030_-1.135_S_-0.059_D_0_B.tiff,00030_-1.135_S_-0.059_D_0_B.tiff,1,1
242,1.1005626166060218,1.3490261125780867,6,5,6_5,0,1,1_0_5_6,/home/emma/Documents/SBB/datasets/exp199/train/00031_1.101_S_1.349_D_0_B.tiff,00031_1.101_S_1.349_D_0_B.tiff,1,1
664,0.8129217462789977,0.3203723105434175,6,4,6_4,0,1,1_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00032_0.813_S_0.32_D_0_B.tiff,00032_0.813_S_0.32_D_0_B.tiff,1,1
249,-0.4895447249758236,0.0961601311731984,4,3,4_3,0,1,1_0_3_4,/home/emma/Documents/SBB/datasets/exp199/train/00033_-0.49_S_0.096_D_0_B.tiff,00033_-0.49_S_0.096_D_0_B.tiff,1,1
3,0.0228919998951045,-0.340852250167745,5,6,5_6,0,0,0_0_6_5,/home/emma/Documents/SBB/datasets/exp199/train/00034_0.023_S_-0.341_D_0_B.tiff,00034_0.023_S_-0.341_D_0_B.tiff,1,1
202,-0.0258080604446303,0.4193002945105435,4,4,4_4,0,1,1_0_4_4,/home/emma/Documents/SBB/datasets/exp199/train/00035_-0.026_S_0.419_D_0_B.tiff,00035_-0.026_S_0.419_D_0_B.tiff,1,1
130,0.4261746566274717,-0.8647397860744113,5,5,5_5,0,0,0_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00036_0.426_S_-0.865_D_0_B.tiff,00036_0.426_S_-0.865_D_0_B.tiff,1,1
63,-1.739455056338469,0.929971553361618,2,5,2_5,0,1,1_0_5_2,/home/emma/Documents/SBB/datasets/exp199/train/00037_-1.739_S_0.93_D_0_B.tiff,00037_-1.739_S_0.93_D_0_B.tiff,1,1
754,-1.3818535439715116,1.5709067180842602,2,6,2_6,0,1,1_0_6_2,/home/emma/Documents/SBB/datasets/exp199/train/00038_-1.382_S_1.571_D_0_B.tiff,00038_-1.382_S_1.571_D_0_B.tiff,1,1
418,0.135868409961708,0.5226959974555463,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00039_0.136_S_0.523_D_0_B.tiff,00039_0.136_S_0.523_D_0_B.tiff,1,1
134,1.848775788928364,-0.3901404740478591,7,6,7_6,0,0,0_0_6_7,/home/emma/Documents/SBB/datasets/exp199/train/00040_1.849_S_-0.39_D_0_B.tiff,00040_1.849_S_-0.39_D_0_B.tiff,1,1
806,-1.6047042124228563,2.060904820764859,2,6,2_6,0,1,1_0_6_2,/home/emma/Documents/SBB/datasets/exp199/train/00041_-1.605_S_2.061_D_0_B.tiff,00041_-1.605_S_2.061_D_0_B.tiff,1,1
325,1.2460478674185271,-1.56369939910143,6,4,6_4,0,0,0_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00042_1.246_S_-1.564_D_0_B.tiff,00042_1.246_S_-1.564_D_0_B.tiff,1,1
266,-0.0920432894925381,2.1536094769949883,4,6,4_6,0,1,1_0_6_4,/home/emma/Documents/SBB/datasets/exp199/train/00043_-0.092_S_2.154_D_0_B.tiff,00043_-0.092_S_2.154_D_0_B.tiff,1,1
628,1.407687394138966,0.7654567971718798,7,4,7_4,0,1,1_0_4_7,/home/emma/Documents/SBB/datasets/exp199/train/00044_1.408_S_0.765_D_0_B.tiff,00044_1.408_S_0.765_D_0_B.tiff,1,1
280,-0.7195414330350709,-0.6030375135186232,3,6,3_6,0,0,0_0_6_3,/home/emma/Documents/SBB/datasets/exp199/train/00045_-0.72_S_-0.603_D_0_B.tiff,00045_-0.72_S_-0.603_D_0_B.tiff,1,1
251,0.5925952985563145,1.110681900351427,5,5,5_5,0,1,1_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00046_0.593_S_1.111_D_0_B.tiff,00046_0.593_S_1.111_D_0_B.tiff,1,1
138,-0.531732234466472,-1.2601207042167584,4,5,4_5,0,0,0_0_5_4,/home/emma/Documents/SBB/datasets/exp199/train/00047_-0.532_S_-1.26_D_0_B.tiff,00047_-0.532_S_-1.26_D_0_B.tiff,1,1
358,-1.6198637951082873,-0.2290133590257385,2,6,2_6,0,0,0_0_6_2,/home/emma/Documents/SBB/datasets/exp199/train/00048_-1.62_S_-0.229_D_0_B.tiff,00048_-1.62_S_-0.229_D_0_B.tiff,1,1
282,0.2917685928515958,0.9604223154304408,5,5,5_5,0,1,1_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00049_0.292_S_0.96_D_0_B.tiff,00049_0.292_S_0.96_D_0_B.tiff,1,1
180,-0.6908433722642402,-0.8303736648829503,3,5,3_5,0,0,0_0_5_3,/home/emma/Documents/SBB/datasets/exp199/train/00050_-0.691_S_-0.83_D_0_B.tiff,00050_-0.691_S_-0.83_D_0_B.tiff,1,1
90,-0.3899245949237078,0.9459060384045516,4,5,4_5,0,1,1_0_5_4,/home/emma/Documents/SBB/datasets/exp199/train/00051_-0.39_S_0.946_D_0_B.tiff,00051_-0.39_S_0.946_D_0_B.tiff,1,1
254,1.0349028924367332,0.2884654366703447,6,7,6_7,0,0,0_0_7_6,/home/emma/Documents/SBB/datasets/exp199/train/00052_1.035_S_0.288_D_0_B.tiff,00052_1.035_S_0.288_D_0_B.tiff,1,1
127,1.28213653037288,1.4338634112001694,6,5,6_5,0,1,1_0_5_6,/home/emma/Documents/SBB/datasets/exp199/train/00053_1.282_S_1.434_D_0_B.tiff,00053_1.282_S_1.434_D_0_B.tiff,1,1
255,0.3120339254454711,1.2839051134831032,5,5,5_5,0,1,1_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00054_0.312_S_1.284_D_0_B.tiff,00054_0.312_S_1.284_D_0_B.tiff,1,1
378,-1.176718795762392,1.5024844545833684,3,5,3_5,0,1,1_0_5_3,/home/emma/Documents/SBB/datasets/exp199/train/00055_-1.177_S_1.502_D_0_B.tiff,00055_-1.177_S_1.502_D_0_B.tiff,1,1
71,1.5061870124595849,1.2423814286721504,7,5,7_5,0,1,1_0_5_7,/home/emma/Documents/SBB/datasets/exp199/train/00056_1.506_S_1.242_D_0_B.tiff,00056_1.506_S_1.242_D_0_B.tiff,1,1
426,0.7518541405215076,-0.6849419797309495,6,2,6_2,0,1,1_0_2_6,/home/emma/Documents/SBB/datasets/exp199/train/00057_0.752_S_-0.685_D_0_B.tiff,00057_0.752_S_-0.685_D_0_B.tiff,1,1
643,0.4849899655934015,3.002118784626024,5,8,5_8,0,1,1_0_8_5,/home/emma/Documents/SBB/datasets/exp199/train/00058_0.485_S_3.002_D_0_B.tiff,00058_0.485_S_3.002_D_0_B.tiff,1,1
188,0.5949123879124825,1.036581509348738,5,5,5_5,0,1,1_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00059_0.595_S_1.037_D_0_B.tiff,00059_0.595_S_1.037_D_0_B.tiff,1,1
183,0.2014738970605807,0.4751735629863438,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00060_0.201_S_0.475_D_0_B.tiff,00060_0.201_S_0.475_D_0_B.tiff,1,1
7,-0.3404019005656152,-0.8513684767479737,4,5,4_5,0,0,0_0_5_4,/home/emma/Documents/SBB/datasets/exp199/train/00061_-0.34_S_-0.851_D_0_B.tiff,00061_-0.34_S_-0.851_D_0_B.tiff,1,1
120,-0.3341993085502213,2.875646053775279,4,8,4_8,0,1,1_0_8_4,/home/emma/Documents/SBB/datasets/exp199/train/00062_-0.334_S_2.876_D_0_B.tiff,00062_-0.334_S_2.876_D_0_B.tiff,1,1
843,2.1283372203986017,0.6728334028774203,8,4,8_4,0,1,1_0_4_8,/home/emma/Documents/SBB/datasets/exp199/train/00063_2.128_S_0.673_D_0_B.tiff,00063_2.128_S_0.673_D_0_B.tiff,1,1
740,0.9336062775868617,1.3144912197002672,6,5,6_5,0,1,1_0_5_6,/home/emma/Documents/SBB/datasets/exp199/train/00064_0.934_S_1.314_D_0_B.tiff,00064_0.934_S_1.314_D_0_B.tiff,1,1
409,-0.3762638828937879,1.7240192298296324,4,6,4_6,0,1,1_0_6_4,/home/emma/Documents/SBB/datasets/exp199/train/00065_-0.376_S_1.724_D_0_B.tiff,00065_-0.376_S_1.724_D_0_B.tiff,1,1
399,0.7559960313950278,-0.0785301318658582,6,3,6_3,0,1,1_0_3_6,/home/emma/Documents/SBB/datasets/exp199/train/00066_0.756_S_-0.079_D_0_B.tiff,00066_0.756_S_-0.079_D_0_B.tiff,1,1
255,1.0080794654455507,-1.6258324239768247,6,4,6_4,0,0,0_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00067_1.008_S_-1.626_D_0_B.tiff,00067_1.008_S_-1.626_D_0_B.tiff,1,1
26,-0.2492318604572054,-0.643023371405677,4,2,4_2,0,1,1_0_2_4,/home/emma/Documents/SBB/datasets/exp199/train/00068_-0.249_S_-0.643_D_0_B.tiff,00068_-0.249_S_-0.643_D_0_B.tiff,1,1
72,1.0980212198343045,1.1030231384868077,6,5,6_5,0,1,1_0_5_6,/home/emma/Documents/SBB/datasets/exp199/train/00069_1.098_S_1.103_D_0_B.tiff,00069_1.098_S_1.103_D_0_B.tiff,1,1
261,1.0210186559571817,-0.3795106646605877,6,6,6_6,0,0,0_0_6_6,/home/emma/Documents/SBB/datasets/exp199/train/00070_1.021_S_-0.38_D_0_B.tiff,00070_1.021_S_-0.38_D_0_B.tiff,1,1
272,-0.492679937467479,-1.099271468567049,4,5,4_5,0,0,0_0_5_4,/home/emma/Documents/SBB/datasets/exp199/train/00071_-0.493_S_-1.099_D_0_B.tiff,00071_-0.493_S_-1.099_D_0_B.tiff,1,1
676,1.1687114345591452,2.5385345666435137,6,7,6_7,0,1,1_0_7_6,/home/emma/Documents/SBB/datasets/exp199/train/00072_1.169_S_2.539_D_0_B.tiff,00072_1.169_S_2.539_D_0_B.tiff,1,1
147,-0.3927494097696857,-1.282330404631471,4,5,4_5,0,0,0_0_5_4,/home/emma/Documents/SBB/datasets/exp199/train/00073_-0.393_S_-1.282_D_0_B.tiff,00073_-0.393_S_-1.282_D_0_B.tiff,1,1
315,0.8787895628137044,-2.023514407472337,6,4,6_4,0,0,0_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00074_0.879_S_-2.024_D_0_B.tiff,00074_0.879_S_-2.024_D_0_B.tiff,1,1
19,-0.6208217018916746,0.5119941767231426,4,4,4_4,0,1,1_0_4_4,/home/emma/Documents/SBB/datasets/exp199/train/00075_-0.621_S_0.512_D_0_B.tiff,00075_-0.621_S_0.512_D_0_B.tiff,1,1
109,1.0324692985668655,0.3472705522559003,6,7,6_7,0,0,0_0_7_6,/home/emma/Documents/SBB/datasets/exp199/train/00076_1.032_S_0.347_D_0_B.tiff,00076_1.032_S_0.347_D_0_B.tiff,1,1
256,-0.419706059629269,-0.3649825104302916,4,6,4_6,0,0,0_0_6_4,/home/emma/Documents/SBB/datasets/exp199/train/00077_-0.42_S_-0.365_D_0_B.tiff,00077_-0.42_S_-0.365_D_0_B.tiff,1,1
286,-1.5493091736618614,1.5271414581243252,2,5,2_5,0,1,1_0_5_2,/home/emma/Documents/SBB/datasets/exp199/train/00078_-1.549_S_1.527_D_0_B.tiff,00078_-1.549_S_1.527_D_0_B.tiff,1,1
125,1.4371387166390346,-0.0258471994365971,7,3,7_3,0,1,1_0_3_7,/home/emma/Documents/SBB/datasets/exp199/train/00079_1.437_S_-0.026_D_0_B.tiff,00079_1.437_S_-0.026_D_0_B.tiff,1,1
24,-0.8100619012746212,0.4825711630338569,3,7,3_7,0,0,0_0_7_3,/home/emma/Documents/SBB/datasets/exp199/train/00080_-0.81_S_0.483_D_0_B.tiff,00080_-0.81_S_0.483_D_0_B.tiff,1,1
56,0.5054232161167075,2.448731288921672,5,7,5_7,0,1,1_0_7_5,/home/emma/Documents/SBB/datasets/exp199/train/00081_0.505_S_2.449_D_0_B.tiff,00081_0.505_S_2.449_D_0_B.tiff,1,1
301,0.2257488174262167,2.194830368529916,5,7,5_7,0,1,1_0_7_5,/home/emma/Documents/SBB/datasets/exp199/train/00082_0.226_S_2.195_D_0_B.tiff,00082_0.226_S_2.195_D_0_B.tiff,1,1
34,0.3999494745609622,-0.8212865708816038,5,5,5_5,0,0,0_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00083_0.4_S_-0.821_D_0_B.tiff,00083_0.4_S_-0.821_D_0_B.tiff,1,1
15,-1.2793107959628611,-0.7321348424395848,3,2,3_2,0,1,1_0_2_3,/home/emma/Documents/SBB/datasets/exp199/train/00084_-1.279_S_-0.732_D_0_B.tiff,00084_-1.279_S_-0.732_D_0_B.tiff,1,1
101,0.6664334265682116,0.4802402276298212,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00085_0.666_S_0.48_D_0_B.tiff,00085_0.666_S_0.48_D_0_B.tiff,1,1
333,0.0756902178425052,-1.263722005070294,5,5,5_5,0,0,0_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00086_0.076_S_-1.264_D_0_B.tiff,00086_0.076_S_-1.264_D_0_B.tiff,1,1
273,-1.23978148313609,-0.1477969814698654,3,6,3_6,0,0,0_0_6_3,/home/emma/Documents/SBB/datasets/exp199/train/00087_-1.24_S_-0.148_D_0_B.tiff,00087_-1.24_S_-0.148_D_0_B.tiff,1,1
462,0.9254242041537194,0.5764333300013289,6,4,6_4,0,1,1_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00088_0.925_S_0.576_D_0_B.tiff,00088_0.925_S_0.576_D_0_B.tiff,1,1
583,0.5688320533152755,0.2403140269976061,5,3,5_3,0,1,1_0_3_5,/home/emma/Documents/SBB/datasets/exp199/train/00089_0.569_S_0.24_D_0_B.tiff,00089_0.569_S_0.24_D_0_B.tiff,1,1
571,0.2882313408454106,0.6896850678961857,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00090_0.288_S_0.69_D_0_B.tiff,00090_0.288_S_0.69_D_0_B.tiff,1,1
550,-1.7945582122672707,1.049137950136144,2,5,2_5,0,1,1_0_5_2,/home/emma/Documents/SBB/datasets/exp199/train/00091_-1.795_S_1.049_D_0_B.tiff,00091_-1.795_S_1.049_D_0_B.tiff,1,1
75,0.1095878675778045,-0.2984812082469119,5,3,5_3,0,1,1_0_3_5,/home/emma/Documents/SBB/datasets/exp199/train/00092_0.11_S_-0.298_D_0_B.tiff,00092_0.11_S_-0.298_D_0_B.tiff,1,1
239,-0.3054384977712365,0.3346573143713579,4,4,4_4,0,1,1_0_4_4,/home/emma/Documents/SBB/datasets/exp199/train/00093_-0.305_S_0.335_D_0_B.tiff,00093_-0.305_S_0.335_D_0_B.tiff,1,1
308,-0.3479833191480018,1.946934382371629,4,6,4_6,0,1,1_0_6_4,/home/emma/Documents/SBB/datasets/exp199/train/00094_-0.348_S_1.947_D_0_B.tiff,00094_-0.348_S_1.947_D_0_B.tiff,1,1
379,-1.0905782903658434,1.2000416454380638,3,5,3_5,0,1,1_0_5_3,/home/emma/Documents/SBB/datasets/exp199/train/00095_-1.091_S_1.2_D_0_B.tiff,00095_-1.091_S_1.2_D_0_B.tiff,1,1
695,0.8937153532099522,0.8253172774445734,6,4,6_4,0,1,1_0_4_6,/home/emma/Documents/SBB/datasets/exp199/train/00096_0.894_S_0.825_D_0_B.tiff,00096_0.894_S_0.825_D_0_B.tiff,1,1
209,-1.211702813722214,-2.516990726200719,3,3,3_3,0,0,0_0_3_3,/home/emma/Documents/SBB/datasets/exp199/train/00097_-1.212_S_-2.517_D_0_B.tiff,00097_-1.212_S_-2.517_D_0_B.tiff,1,1
378,0.6913057281703396,-3.254921892315956,5,2,5_2,0,0,0_0_2_5,/home/emma/Documents/SBB/datasets/exp199/train/00098_0.691_S_-3.255_D_0_B.tiff,00098_0.691_S_-3.255_D_0_B.tiff,1,1
473,0.5637552176791786,2.4833441210372635,5,7,5_7,0,1,1_0_7_5,/home/emma/Documents/SBB/datasets/exp199/train/00099_0.564_S_2.483_D_0_B.tiff,00099_0.564_S_2.483_D_0_B.tiff,1,1
60,0.5851023353647933,1.844992733719176,5,6,5_6,0,1,1_0_6_5,/home/emma/Documents/SBB/datasets/exp199/train/00100_0.585_S_1.845_D_0_B.tiff,00100_0.585_S_1.845_D_0_B.tiff,1,1
0,-0.7007293652139458,0.1980685747465526,3,3,3_3,0,1,1_0_3_3,/home/emma/Documents/SBB/datasets/exp199/train/00101_-0.701_S_0.198_D_0_B.tiff,00101_-0.701_S_0.198_D_0_B.tiff,1,1
107,-1.3038317684448748,-0.5760898454352261,3,2,3_2,0,1,1_0_2_3,/home/emma/Documents/SBB/datasets/exp199/train/00102_-1.304_S_-0.576_D_0_B.tiff,00102_-1.304_S_-0.576_D_0_B.tiff,1,1
456,2.522559737588081,0.3590024833557246,8,4,8_4,0,1,1_0_4_8,/home/emma/Documents/SBB/datasets/exp199/train/00103_2.523_S_0.359_D_0_B.tiff,00103_2.523_S_0.359_D_0_B.tiff,1,1
117,0.4906839122083342,-1.9158716729607008,5,4,5_4,0,0,0_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00104_0.491_S_-1.916_D_0_B.tiff,00104_0.491_S_-1.916_D_0_B.tiff,1,1
177,1.466308254174321,1.6482544703432906,7,6,7_6,0,1,1_0_6_7,/home/emma/Documents/SBB/datasets/exp199/train/00105_1.466_S_1.648_D_0_B.tiff,00105_1.466_S_1.648_D_0_B.tiff,1,1
455,0.0345002645084871,0.5138280928600074,5,4,5_4,0,1,1_0_4_5,/home/emma/Documents/SBB/datasets/exp199/train/00106_0.035_S_0.514_D_0_B.tiff,00106_0.035_S_0.514_D_0_B.tiff,1,1
143,-0.2470068470629539,2.5483616908312823,4,7,4_7,0,1,1_0_7_4,/home/emma/Documents/SBB/datasets/exp199/train/00107_-0.247_S_2.548_D_0_B.tiff,00107_-0.247_S_2.548_D_0_B.tiff,1,1
44,0.8405890912185869,-0.1017166275810448,6,3,6_3,0,1,1_0_3_6,/home/emma/Documents/SBB/datasets/exp199/train/00108_0.841_S_-0.102_D_0_B.tiff,00108_0.841_S_-0.102_D_0_B.tiff,1,1
113,0.1568046767602634,-1.0097095743610036,5,5,5_5,0,0,0_0_5_5,/home/emma/Documents/SBB/datasets/exp199/train/00109_0.157_S_-1.01_D_0_B.tiff,00109_0.157_S_-1.01_D_0_B.tiff,1,1
627,-0.7191825416407721,2.272948670401145,3,7,3_7,0,1,1_0_7_3,/home/emma/Documents/SBB/datasets/exp199/train/00110_-0.719_S_2.273_D_0_B.tiff,00110_-0.719_S_2.273_D_0_B.tiff,1,1
630,0.5450188593908117,1.769248929775265,5,6,5_6,0,1,1_0_6_5,/home/emma/Documents/SBB/datasets/exp199/train/00111_0.545_S_1.769_D_0_B.tiff,00111_0.545_S_1.769_D_0_B.tiff,1,1
505,-0.3365462058595083,-0.4891968817637571,4,6,4_6,0,0,0_0_6_4,/home/emma/Documents/SBB/datasets/exp199/train/00112_-0.337_S_-0.489_D_0_B.tiff,00112_-0.337_S_-0.489_D_0_B.tiff,1,1
331,-1.4698807814330146,0.285761066665892,2,4,2_4,0,1,1_0_4_2,/home/emma/Documents/SBB/datasets/exp199/train/00113_-1.47_S_0.286_D_0_B.tiff,00113_-1.47_S_0.286_D_0_B.tiff,1,1
187,-1.1382050376980055,-1.1225892208678236,3,5,3_5,0,0,0_0_5_3,/home/emma/Documents/SBB/datasets/exp199/train/00114_-1.138_S_-1.123_D_0_B.tiff,00114_-1.138_S_-1.123_D_0_B.tiff,1,1
37,0.1962851926680385,-0.3552087462047395,5,3,5_3,0,1,1_0_3_5,/home/emma/Documents/SBB/datasets/exp199/train/00115_0.196_S_-0.355_D_0_B.tiff,00115_0.196_S_-0.355_D_0_B.tiff,1,1
112,-1.927507238096484,-0.400616154204541,2,6,2_6,0,0,0_0_6_2,/home/emma/Documents/SBB/datasets/exp199/train/00116_-1.928_S_-0.401_D_0_B.tiff,00116_-1.928_S_-0.401_D_0_B.tiff,1,1
310,-0.9768525760457432,0.7916916547399891,3,4,3_4,0,1,1_0_4_3,/home/emma/Documents/SBB/datasets/exp199/train/00117_-0.977_S_0.792_D_0_B.tiff,00117_-0.977_S_0.792_D_0_B.tiff,1,1
649,-0.1658597966743691,-0.5943117200745838,4,2,4_2,0,1,1_0_2_4,/home/emma/Documents/SBB/datasets/exp199/train/00118_-0.166_S_-0.594_D_0_B.tiff,00118_-0.166_S_-0.594_D_0_B.tiff,1,1
